id,title,authors,type,venue,year,acceptance,note,link,abstract,figure,caption
2007,Adaptive Vocabulary Forests for Dynamic Indexing and Category Learning ,Tom Yeh; John Lee; Trevor Darrell,Conference Paper,ICCV,2007,23.4,,,,,
2004a,IDeixis: Image-based Deixis for Finding Location-Based Information ,Konrad Tollmar; Tom Yeh; Trevor Darrell ,Conference Paper,MobileHCI,2004,,,,,,
2004b,Searching the Web with Mobile Images for Location Recognition ,Tom Yeh; Konrad Tollmar; Trevor Darrell ,Conference Paper,CVPR,2004,23.6,,,,,
2011d,Co-designing Contextual Tutorials for Older Adults on Searching Health Information on the Internet,Bo Xie; Tom Yeh; Greg Walsh; Ivan Watkins; Man Huang,Short Paper,ASIS&T,2011,,,,"Older adults' e-health literacy, or the ability to access and use reliable health information through electronic sources, is generally low. Improving older adults' e-health literacy requires innovative instructional approaches and tools. An integrated e-tutorial displays instructions as an overlay on the actual Website. Evidence in the literature suggests an integrated e-tutorial is more effective than a paper- or video-based tutorial among younger people. Yet, relatively little is known about the effectiveness of an integrated e-tutorial on the older population. This exploratory study began to explore the applicability of an integrated e-tutorial to an older population, focusing on the content area of e-health literacy. A specific integrated e-tutorial, the Online Tutorial Overlay Presenter (OnTOP), was used to add an overlay to the NIHSeniorHealth.gov Website. Features of the overlay were examined thoroughly in seven 2-hour-long participatory design sessions with ten older adults during November 2010-March 2011. Several participatory design techniques were used to elicit participants' preferences for design features of the OnTOP tutorial. These techniques included drawing on the board, voice recording and integration, and peer instruction. Three major themes were identified, including: 1) using contextual cues, including gestural and auditory cues, to facilitate learning; 2) tailoring to accommodate the learner's literacy level; and 3) enhancing existing interfaces by adding multimedia cues (e.g., using images of everyday objects to replace unfamiliar abstract computer symbols). These findings helped improve the design features of the OnTOP. They also contribute to the multimedia learning literature by generating empirical evidence about the effects of multimedia learning among the previously understudied older adult population, and by raising interesting questions worthy of further examination.",,
2008c,Multimodal Question Answering for Mobile Devices ,Tom Yeh; Trevor Darrell,Short Paper,IUI,2008,38,,,,,
2005a,A Picture is Worth a Thousand Keywords: Image-based Object Search on a Mobile Platform ,Tom Yeh; Kristen Grauman; Konrad Tollmar; Trevor Darrell,Short Paper,CHI,2005,33,,,,,
2005b,DoubleShot: An Interactive User-Aided Segmentation Tool ,Tom Yeh; Trevor Darrell,Short Paper,IUI,2005,34,,,,,
2011e,Active Inference for Retrieval in Camera Networks,DaoZheng Chen; Mustafa Bilgic; Lise Getoor; David Jacobs; Lilly Mihalkova; Tom Yeh,Workshop,IEEE Workshop on Person Oriented Vision,2011,,,,,,
2010d,Web-Scale Computer Vision using MapReduce for Multimedia Data Mining,Brandyn White; Tom Yeh; Jimmy Lin; Larry Davis,Workshop,KDD Multimedia Data Mining Workshop,2010,,,,,,
2008d,Scalable Classifiers for Internet Vision Tasks ,Tom Yeh; John Lee; Trevor Darrell,Workshop,CVPR Internet Vision Workshop,2008,,,,,,
2009c,"Searching Documentation Using Text, OCR, and Image",Tom Yeh; Boris Katz,Conference Poster,SIGIR,2009,34,,,,,
2008e,Obtaining Help on GUI Elements using Screenshots ,Tom Yeh; Tsung-Hsiang Chang; Robert Miller,Conference Poster,UIST,2008,,,,,,
