id,title,authors,type,venue,year,acceptance,note,link,abstract,figure,caption
2007,Adaptive Vocabulary Forests for Dynamic Indexing and Category Learning ,Tom Yeh; John Lee; Trevor Darrell,Conference Paper,ICCV,2007,23.4,,http://dx.doi.org/10.1109/ICCV.2007.4409053,"Histogram pyramid representations computed from a vocabulary tree of visual words have proven valuable for a range of image indexing and recognition tasks; however, they have only used a single, fixed partition of feature space. We present a new efficient algorithm to incrementally compute set-of-trees (forest) vocabulary representations, and show that they improve recognition and indexing performance in methods which use histogram pyramids. Our algorithm incrementally adapts a vocabulary forest with an Inverted file system at the leaf nodes and automatically keeps existing histogram pyramid database entries up-to-date in a forward filesystem. It is possible not only to apply vocabulary tree indexing algorithms directly, but also to compute pyramid match kernel values efficiently. On dynamic recognition tasks where categories or objects under consideration may change over time, we show that adaptive vocabularies offer significant performance advantages in comparison to a single, fixed vocabulary.",,
2004a,IDeixis: Image-based Deixis for Finding Location-Based Information ,Konrad Tollmar; Tom Yeh; Trevor Darrell ,Conference Paper,MobileHCI,2004,,,http://www.springerlink.com/content/dj2pvjwhgxx1vp1p/,"In this paper we describe an image-based approach to finding location-based information from camera-equipped mobile devices. We introduce a point-by-photograph paradigm, where users can specify a location simply by taking pictures. Our technique uses content-based image retrieval methods to search the web or other databases for matching images and their source pages to find relevant location-based information. In contrast to conventional approaches to location detection, our method can refer to distant locations and does not require any physical infrastructure beyond mobile internet service. We have developed a prototype on a camera phone and conducted user studies to demonstrate the efficacy of our approach.",,
2004b,Searching the Web with Mobile Images for Location Recognition ,Tom Yeh; Konrad Tollmar; Trevor Darrell ,Conference Paper,CVPR,2004,23.6,,http://dx.doi.org/10.1109/CVPR.2004.1315147,"We describe an approach to recognizing location from mobile devices using image-based Web search. We demonstrate the usefulness of common image search metrics applied on images captured with a camera-equipped mobile device to find matching images on the World Wide Web or other general-purpose databases. Searching the entire Web can be computationally overwhelming, so we devise a hybrid image-and-keyword searching technique. First, image-search is performed over images and links to their source Web pages in a database that indexes only a small fraction of the Web. Then, relevant keywords on these Web pages are automatically identified and submitted to an existing text-based search engine (e.g. Google) that indexes a much larger portion of the Web. Finally, the resulting image set is filtered to retain images close to the original query. It is thus possible to efficiently search hundreds of millions of images that are not only textually related but also visually relevant. We demonstrate our approach on an application allowing users to browse Web pages matching the image of a nearby location.",,
2011d,Co-designing Contextual Tutorials for Older Adults on Searching Health Information on the Internet,Bo Xie; Tom Yeh; Greg Walsh; Ivan Watkins; Man Huang,Short Paper,ASIS&T,2011,,,,"Older adults' e-health literacy, or the ability to access and use reliable health information through electronic sources, is generally low. Improving older adults' e-health literacy requires innovative instructional approaches and tools. An integrated e-tutorial displays instructions as an overlay on the actual Website. Evidence in the literature suggests an integrated e-tutorial is more effective than a paper- or video-based tutorial among younger people. Yet, relatively little is known about the effectiveness of an integrated e-tutorial on the older population. This exploratory study began to explore the applicability of an integrated e-tutorial to an older population, focusing on the content area of e-health literacy. A specific integrated e-tutorial, the Online Tutorial Overlay Presenter (OnTOP), was used to add an overlay to the NIHSeniorHealth.gov Website. Features of the overlay were examined thoroughly in seven 2-hour-long participatory design sessions with ten older adults during November 2010-March 2011. Several participatory design techniques were used to elicit participants' preferences for design features of the OnTOP tutorial. These techniques included drawing on the board, voice recording and integration, and peer instruction. Three major themes were identified, including: 1) using contextual cues, including gestural and auditory cues, to facilitate learning; 2) tailoring to accommodate the learner's literacy level; and 3) enhancing existing interfaces by adding multimedia cues (e.g., using images of everyday objects to replace unfamiliar abstract computer symbols). These findings helped improve the design features of the OnTOP. They also contribute to the multimedia learning literature by generating empirical evidence about the effects of multimedia learning among the previously understudied older adult population, and by raising interesting questions worthy of further examination.",,
2008c,Multimodal Question Answering for Mobile Devices ,Tom Yeh; Trevor Darrell,Short Paper,IUI,2008,38,,http://dl.acm.org/citation.cfm?id=1378841,"This paper introduces multimodal question answering, a new interface for community-based question answering services. By offering users an extra modality---photos---in addition to the text modality to formulate queries, multimodal question answering overcomes the limitations of text-only input methods when the users ask questions regarding visually distinctive objects. Such interface is especially useful when users become curious about an interesting object in the environment and want to know about it---simply by taking a photo and asking a question in a situated (from a mobile device) and intuitive (without describing the object in words) manner. We propose a system architecture for multimodal question answering, describe an algorithm for searching the database, and report on the findings of two prototype studies.",,
2005a,A Picture is Worth a Thousand Keywords: Image-based Object Search on a Mobile Platform ,Tom Yeh; Kristen Grauman; Konrad Tollmar; Trevor Darrell,Short Paper,CHI,2005,33,,http://dl.acm.org/citation.cfm?id=1057083,"Finding information based on an object's visual appearance is useful when specific keywords for the object are not known. We have developed a mobile image-based search system that takes images of objects as queries and finds relevant web pages by matching them to similar images on the web. Image-based search works well when matching full scenes, such as images of buildings or landmarks, and for matching objects when the boundary of the object in the image is available. We demonstrate the effectiveness of a simple interactive paradigm for obtaining a segmented object boundary, and show how a shape-based image matching algorithm can use the object outline to find similar images on the web.",,
2005b,DoubleShot: An Interactive User-Aided Segmentation Tool ,Tom Yeh; Trevor Darrell,Short Paper,IUI,2005,34,,http://dl.acm.org/citation.cfm?id=1040901,"In this paper, we describe an intelligent user interface designed for camera phones to allow mobile users to specify the object of interest in the scene simply by taking two pictures: one with the object and one without the object. By comparing these two images, the system can reliably extract the visual appearance of the object, which can be useful to a wide-range of applications such as content-based image retrieval and object recognition.",,
2011e,Active Inference for Retrieval in Camera Networks,DaoZheng Chen; Mustafa Bilgic; Lise Getoor; David Jacobs; Lilly Mihalkova; Tom Yeh,Workshop,IEEE Workshop on Person Oriented Vision,2011,,,http://dx.doi.org/10.1109/POV.2011.5712363,"We address the problem of searching camera network videos to retrieve frames containing specified individuals. We show the benefit of utilizing a learned probabilistic model that captures dependencies among the cameras. In addition, we develop an active inference framework that can request human input at inference time, directing human attention to the portions of the videos whose correct annotation would provide the biggest performance improvements. Our primary contribution is to show that by mapping video frames in a camera network onto a graphical model, we can apply collective classification and active inference algorithms to significantly increase the performance of the retrieval system, while minimizing the number of human annotations required.",,
2010d,Web-Scale Computer Vision using MapReduce for Multimedia Data Mining,Brandyn White; Tom Yeh; Jimmy Lin; Larry Davis,Workshop,KDD Multimedia Data Mining Workshop,2010,,,http://dl.acm.org/citation.cfm?id=1814254,"This work explores computer vision applications of the MapReduce framework that are relevant to the data mining community. An overview of MapReduce and common design patterns are provided for those with limited MapReduce background. We discuss both the high level theory and the low level implementation for several computer vision algorithms: classifier training, sliding windows, clustering, bag-of-features, background subtraction, and image registration. Experimental results for the k-means clustering and single Gaussian background subtraction algorithms are performed on a 410 node Hadoop cluster.",,
2008d,Scalable Classifiers for Internet Vision Tasks ,Tom Yeh; John Lee; Trevor Darrell,Workshop,CVPR Internet Vision Workshop,2008,,,http://dx.doi.org/10.1109/CVPRW.2008.4562958,"Object recognition systems designed for Internet applications typically need to adapt to userspsila needs in a flexible fashion and scale up to very large data sets. In this paper, we analyze the complexity of several multiclass SVM-based algorithms and highlight the computational bottleneck they suffer at test time: comparing the input image to every training image. We propose an algorithm that overcomes this bottleneck; it offers not only the efficiency of a simple nearest-neighbor classifier, by voting on class labels based on the k nearest neighbors quickly determined by a vocabulary tree, but also the recognition accuracy comparable to that of a complex SVM classifier, by incorporating SVM parameters into the voting scores incrementally accumulated from individual image features. Empirical results demonstrate that adjusting votes by relevant support vector weights can improve the recognition accuracy of a nearest-neighbor classifier without sacrificing speed. Compared to existing methods, our algorithm achieves a ten-fold speed increase while incurring an acceptable accuracy loss that can be easily offset by showing about two more labels in the result. The speed, scalability, and adaptability of our algorithm makes it suitable for Internet vision applications.",,
2009c,"Searching Documentation Using Text, OCR, and Image",Tom Yeh; Boris Katz,Conference Poster,SIGIR,2009,34,,http://dl.acm.org/citation.cfm?id=1572123,"We describe a mixed-modality method to index and search software documentation in three ways: plain text, OCR text of embedded figures, and visual features of these figures. Using a corpus of 102 computer books with a total of 62,943 pages and 75,800 figures, we empirically demonstrate that our method achieves better precision/recall than do alternatives based on single modalities.",,
2008e,Obtaining Help on GUI Elements using Screenshots ,Tom Yeh; Tsung-Hsiang Chang; Robert Miller,Conference Poster,UIST,2008,,,,"We present an image-based help mechanism for users to obtain information about novel and unfamiliar GUI elements. Instead of reading tooltips and/or using keywords to search, users can use the screenshots of the GUI elements directly to retrieve relevant information. Many offline and online resources contain screenshots and text about software applications that can be indexed and searched based on visual similarity. A preliminary experiment on a small pilot dataset has demonstrated the technical feasibility of a state-of-the-art image matching algorithm to handle screenshots",,
